,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
1,2,2,2,1,15,1,12,2,6,12,6,0,0,11,1,23,1,10,0,12,504,50,310,123,191,153,173,225,105,120,4,4,4,1,2,0.49,46,46,46,23,1,1,2,3,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,1,0,17,0,1,1,0,0,0,0,0,0,8.5,0,0,0,0,0,0,4,1,1
3,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,20,0,3,2,0,17,0,2,2,0,1,1,1,1,0,5.67,1,1,1,1,1,1,2,3,1
4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,20,0,3,2,0,17,0,2,2,0,1,1,1,1,0,5.67,1,1,1,1,1,1,2,3,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1
7,1,1,1,1,1,0,1,1,4,0,0,1,2,2,0,2,1,1,0,0,73,5,20,19,0,49,8,10,10,0,1,1,1,1,0,2.45,1,1,1,1,0,0,8,1,3
8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,65,5,20,19,0,40,10,11,11,0,0,0,0,0,0,2,0,0,0,0,0,1,8,1,4
9,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,59,7,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,0,0,5,1,2
10,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,58,6,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,0,0,6,1,3
11,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,63,6,29,13,12,28,15,21,12,9,2,2,2,1,1,0.97,5,5,5,4,0,0,1,1,1
12,6,6,7,4,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,247,19,205,54,127,23,82,141,52,89,25,25,29,23,4,0.11,55,55,65,44,0,0,8,1,5
13,4,4,5,2,12,0,12,0,1,3,3,3,3,0,0,3,0,0,0,3,70,7,46,18,27,17,27,42,20,22,5,5,6,4,2,0.37,13,13,15,6,0,2,8,1,5
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,4,0,17,2,2,2,0,0,0,0,0,0,4.25,0,0,0,0,0,0,1047,1,1
15,1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,183,21,146,65,65,16,75,105,56,49,5,5,5,1,2,0.11,24,24,25,15,0,0,4,1,2
16,5,5,5,1,31,0,31,0,1,1,0,1,1,0,0,1,0,0,0,1,60,4,40,15,24,16,24,30,14,16,5,5,5,1,3,0.4,5,5,5,1,0,0,4,1,2
17,1,1,1,1,5,0,5,0,1,0,0,2,2,2,0,2,0,0,2,0,43,4,23,16,7,16,15,18,14,4,2,2,2,1,0,0.7,3,3,3,2,0,0,3,1,1
18,2,2,2,1,12,0,6,6,2,4,3,14,14,10,3,14,1,0,1,12,279,25,114,38,56,140,47,78,37,41,7,7,9,1,5,1.23,29,29,32,14,3,1,12,1,10
19,1,1,1,1,8,0,3,5,1,0,1,3,3,3,0,3,0,0,0,3,50,5,13,6,4,32,5,9,6,3,1,1,1,1,0,2.46,3,3,3,3,0,0,4,1,2
20,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,2,47,6,7,6,0,34,5,6,6,0,0,0,0,0,0,4.86,0,0,0,0,0,0,5,1,3
21,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,36,5,6,5,0,25,4,5,5,0,0,0,0,0,0,4.17,0,0,0,0,0,0,1,1,1
22,3,3,4,1,23,0,18,4,3,1,13,11,11,10,5,11,0,6,1,4,370,36,243,92,148,91,127,166,79,87,7,7,7,4,3,0.37,37,37,44,19,2,10,25,1,23
23,1,1,1,1,16,0,6,10,1,0,2,3,3,3,1,3,0,0,1,2,90,8,30,16,14,52,18,23,14,9,3,3,3,1,1,1.73,5,5,5,3,1,1,7,1,5
24,2,2,2,1,19,0,9,9,1,0,3,4,5,5,1,5,0,0,1,4,149,11,62,30,25,76,29,40,22,18,4,4,4,4,2,1.23,9,9,9,7,0,2,4,1,5
25,3,3,3,1,20,0,13,5,2,2,10,21,21,19,7,21,0,0,13,8,631,47,333,107,204,252,156,220,93,127,14,14,19,4,4,0.76,64,64,74,24,4,10,34,1,32
